factor,IC_IR,IC_mean,IC_t,FM_λ_annual,FM_t,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha130,0.04329855447564831,0.005404797640949037,2.6973991668236157,-0.1925221910015921,-2.896705805493238,,False,True,False,False
alpha172,-0.0411056975656181,-0.00447291964573182,-2.5561663220340125,-0.0003141492858707345,-0.5749967628035525,,False,False,False,False
alpha191,-0.04000997142680609,-0.0020873458383680677,-2.4918857756432025,0.025483963201713287,2.4420857174278017,,False,True,False,False
alpha182,0.03984095481809827,0.003939785516648069,2.4832774774432576,0.06481624245103154,1.571242496792118,,False,False,False,False
alpha112,-0.0378049930922314,-0.0024208990387732,-2.354859637110079,-0.014848532072956751,-1.2589541985849315,,False,False,False,False
alpha032,0.037407448224136546,0.002247040173594855,2.3288953175096307,-0.03651323253908528,-2.046615145958484,,False,True,False,False
alpha104,-0.024946222006062873,-0.0033969630947744377,-1.5548922343300478,-0.15953244451465562,-3.5885412816161644,,False,True,False,False
alpha188,-0.02152065519862555,-0.002010488123080573,-1.341204802814191,0.015767099900351206,0.4499170097686406,,False,False,False,False
alpha127,0.021173626284383514,0.002021439024430378,1.3195773550343233,0.17254429575771008,5.739372925061977,,False,True,False,False
alpha181,0.019612148442677266,0.0017184888001687405,1.2224206657278862,0.08740008746425827,2.305348840301776,,False,True,False,False
alpha186,-0.019483232577050265,-0.0010737192365458316,-1.213603660346968,-0.004763412352159703,-0.43221160584695634,,False,False,False,False
alpha029,0.016856919646681116,0.001129962400060257,1.0494701749653474,-0.07356480241764327,-3.539417455438989,,False,True,False,False
alpha117,-0.01681340957804589,-0.0016804397650868675,-1.043380106218377,0.011024487907480432,0.5428450875915426,,False,False,False,False
alpha012,-0.015856676656382827,-0.0015795904112011836,-0.9871975173245497,-0.09149542315670106,-1.007966879036009,,False,False,False,False
alpha185,-0.014278313723156279,-0.0007715744851983344,-0.889391107429272,0.04751333825367675,4.36733877295235,,False,True,False,False
alpha115,-0.007376835621606188,-0.0004994902078666413,-0.4595004795407814,0.027659975886784663,2.3404054117159405,,False,True,False,False
alpha119,0.007050421176959391,0.0010010525580397462,0.4392814124395804,-0.18274908773385246,-3.996113807287162,,False,True,False,False
alpha190,-0.005264767012773082,-0.0004718549271353406,-0.32798273119629207,0.019080770728146842,0.5656436897650381,,False,False,False,False
alpha007,0.0045219367210058495,0.0005083521816993355,0.2817424235955394,0.03991804818156138,1.6476010860297297,,False,False,False,False
alpha005,0.003911440411036798,0.0005014190452435935,0.24364223859108636,-0.45054815123102937,-6.193078146877685,,False,True,False,False
alpha123,-0.003755916356853614,-0.00029343621612982096,-0.23392454956562544,-0.13803466660881533,-2.8749149070256066,,False,True,False,False
alpha136,0.003226644864884688,0.0003618310302282634,0.20101246509443285,-0.07897346847637363,-1.8890575776029033,,False,False,False,False
alpha097,0.0,0.0,0.0,0.0,0.0,,False,False,False,False
alpha121,0.0,0.0,0.0,0.0,0.0,,False,False,False,False
alpha133,0.0,0.0,0.0,0.0,0.0,,False,False,False,False
